hi
The program mdatom performs a MD-run for a collection of atoms, using:
  1. Data characterizing the md-run
  2. Atomic coordinates and velocities


Data characterizing the MD-run:
# Title
Test 6, 1000 atoms
#                 NumberAtoms                 AtomicMass                     MDType
                           10                          1                          0
#                  BoxSize(x)                 BoxSize(y)                 BoxSize(z)
                       10.436                     10.436                     10.436
#               NumberMDSteps                InitialTime                   TimeStep
                         1000                          0                     0.0005
#          InitialTemperature          TargetTemperature    TemperatureCouplingTime
                          100                        100                        0.1
#                  RandomSeed
                     10021988
#            XVInitialization  CoordInitializationSpread              FinalXVOutput
                            1                          0                          1
#          NAtomsOnBoxEdge(x)         NAtomsOnBoxEdge(y)         NAtomsOnBoxEdge(z)
                           10                         10                         10
#                   EpsilonLJ                    SigmaLJ    InteractionCutoffRadius
                       0.4577                     0.1908                        2.5
#    PropertyPrintingInterval    NumberRadialDistrPoints    RadialDistrCutoffRadius
                            1                        100                        2.5
#            TrajectoryOutput     TrajectoryOutputFormat   TrajectoryOutputInterval
                            0                          2                          5


Atomic coordinates and velocities:

coordinates of the elements of a chain
 The velocities are taken from a Maxwellian distribution.
no of bonds: 9
 The initial temperature is: 145.562


Starting MD iterations...

           STEP           TIME        E-TOTAL      E-KINETIC    E-POTENTIAL         VIRIAL       PRESSURE        SCALE-T
            149         0.0745        721.466        641.016        80.4497        0.76356       0.375541              1
            150          0.075        721.398        641.721        79.6767       0.743583       0.375967              1
            151         0.0755        721.322        642.421        78.9002       0.723632       0.376389              1
            152          0.076        721.238        643.098        78.1405       0.703764       0.376798              1
            153         0.0765        721.149        643.733        77.4158       0.684039       0.377182              1
            154          0.077        721.054        644.311        76.7421       0.664515       0.377532              1
            155         0.0775        720.954        644.821        76.1327       0.645252       0.377843              1
            156          0.078        720.849        645.252        75.5977       0.626303       0.378106              1
            157         0.0785        720.742        645.597        75.1449       0.607721        0.37832              1
            158          0.079        720.631        645.853        74.7786       0.589557       0.378481              1
            159         0.0795        720.519        646.018        74.5005       0.571853       0.378588              1
            160           0.08        720.405        646.095        74.3097       0.554651       0.378643              1
            161         0.0805         720.29        646.087        74.2027       0.537987       0.378648              1
            162          0.081        720.174            646        74.1741        0.52189       0.378606              1
            163         0.0815        720.058        645.842        74.2165       0.506385       0.378523              1
            164          0.082        719.943        645.622        74.3209       0.491492       0.378403              1
            165         0.0825        719.828        645.351        74.4774       0.477226       0.378252              1
            166          0.083        719.715         645.04         74.675       0.463595       0.378077              1
            167         0.0835        719.603          644.7        74.9025       0.450607       0.377886              1
            168          0.084        719.492        644.344        75.1482        0.43826       0.377684              1
            169         0.0845        719.384        643.983        75.4006       0.426552       0.377479              1
            170          0.085        719.277        643.629        75.6486       0.415477       0.377278              1
            171         0.0855        719.173        643.291        75.8816       0.405023       0.377086              1
            172          0.086        719.071        642.982        76.0899        0.39518        0.37691              1
            173         0.0865        718.972        642.708        76.2646       0.385931       0.376755              1
            174          0.087        718.876        642.478         76.398        0.37726       0.376625              1
            175         0.0875        718.782        642.298        76.4838       0.369149       0.376525              1
            176          0.088        718.691        642.174        76.5166       0.361576       0.376456              1
            177         0.0885        718.602        642.109        76.4926       0.354521       0.376423              1
            178          0.089        718.516        642.107        76.4096        0.34796       0.376425              1
            179         0.0895        718.433        642.167        76.2664        0.34187       0.376464              1
            180           0.09        718.353         642.29        76.0634       0.336229       0.376539              1
            181         0.0905        718.276        642.474        75.8023        0.33101        0.37665              1
            182          0.091        718.201        642.715        75.4862       0.326189       0.376794              1
            183         0.0915        718.129         643.01        75.1192        0.32174        0.37697              1
            184          0.092        718.059        643.353        74.7066       0.317638       0.377174              1
            185         0.0925        717.992        643.738        74.2546       0.313857       0.377402              1
            186          0.093        717.928        644.158        73.7702       0.310371        0.37765              1
            187         0.0935        717.866        644.605        73.2612       0.307153       0.377914              1
            188          0.094        717.807        645.071        72.7357       0.304178       0.378189              1
            189         0.0945        717.749        645.547        72.2023       0.301419        0.37847              1
            190          0.095        717.695        646.025        71.6695       0.298851       0.378752              1
            191         0.0955        717.642        646.496        71.1459       0.296446        0.37903              1
            192          0.096        717.592        646.952        70.6399       0.294182       0.379298              1
            193         0.0965        717.543        647.384        70.1592       0.292034       0.379553              1
            194          0.097        717.497        647.786        69.7113       0.289976        0.37979              1
            195         0.0975        717.453        648.151        69.3025       0.287986       0.380005              1
            196          0.098        717.411        648.473        68.9384       0.286041       0.380195              1
            197         0.0985        717.371        648.748        68.6236        0.28412       0.380358              1
            198          0.099        717.333        648.972        68.3612       0.282203        0.38049              1
            199         0.0995        717.297        649.143        68.1536       0.280271       0.380592              1
            200            0.1        717.262        649.261        68.0015       0.278307       0.380662              1


   Total mass                       :                 10
   Coordinates of the center of mass:              5.362        4.98341        5.09841
   Velocity of the center of mass   :          -0.347136      -0.166299       0.362501
   Translational kinetic energy     :            1.39783


           STEP           TIME        E-TOTAL      E-KINETIC    E-POTENTIAL         VIRIAL       PRESSURE        SCALE-T

            201         0.1005        717.229        649.325        67.9044       0.276295       0.380701              1
            202          0.101        717.198        649.337        67.8608       0.274221       0.380709              1
            203         0.1015        717.169        649.301        67.8677       0.272072       0.380689              1
            204          0.102        717.141         649.22        67.9212       0.269837       0.380643              1
            205         0.1025        717.114        649.098        68.0163       0.267508       0.380573              1
            206          0.103         717.09        648.942        68.1473       0.265077       0.380483              1
            207         0.1035        717.066        648.759        68.3076       0.262538       0.380377              1
            208          0.104        717.044        648.554        68.4904       0.259888       0.380258              1
            209         0.1045        717.024        648.336        68.6884       0.257121       0.380132              1
            210          0.105        717.005         648.11        68.8945       0.254239       0.380001              1
            211         0.1055        716.987        647.886        69.1015       0.251241       0.379871              1
            212          0.106        716.971        647.668        69.3025       0.248127       0.379746              1
            213         0.1065        716.956        647.464        69.4913       0.244899       0.379628              1
            214          0.107        716.942         647.28        69.6623       0.241561       0.379521              1
            215         0.1075        716.929        647.119        69.8106       0.238115       0.379429              1
            216          0.108        716.918        646.985        69.9323       0.234567       0.379353              1
            217         0.1085        716.907        646.883        70.0246       0.230921       0.379295              1
            218          0.109        716.898        646.812        70.0855       0.227182       0.379256              1
            219         0.1095        716.889        646.775        70.1143       0.223356       0.379236              1
            220           0.11        716.882        646.771        70.1111       0.219449       0.379236              1
            221         0.1105        716.875        646.798        70.0773       0.215468       0.379254              1
            222          0.111        716.869        646.854        70.0148       0.211419        0.37929              1
            223         0.1115        716.864        646.937        69.9268       0.207308       0.379341              1
            224          0.112        716.859        647.042        69.8168       0.203145       0.379405              1
            225         0.1125        716.854        647.165        69.6891       0.198936       0.379479              1
            226          0.113         716.85        647.302        69.5483       0.194688       0.379562              1
            227         0.1135        716.845        647.446        69.3993       0.190409       0.379649              1
            228          0.114        716.841        647.594        69.2471       0.186108       0.379738              1
            229         0.1145        716.836         647.74        69.0966       0.181793       0.379826              1
            230          0.115        716.831        647.878        68.9528       0.177471        0.37991              1
            231         0.1155        716.825        648.005          68.82       0.173151       0.379987              1
            232          0.116        716.819        648.117        68.7022       0.168841       0.380055              1
            233         0.1165        716.811        648.208        68.6031       0.164549       0.380111              1
            234          0.117        716.803        648.277        68.5254       0.160284       0.380154              1
            235         0.1175        716.793        648.322        68.4714       0.156052       0.380183              1
            236          0.118        716.782        648.339        68.4426       0.151863       0.380196              1
            237         0.1185        716.769         648.33        68.4398       0.147724       0.380192              1
            238          0.119        716.755        648.292        68.4629        0.14364       0.380173              1
            239         0.1195        716.739        648.228        68.5114        0.13962       0.380137              1
            240           0.12        716.721        648.137        68.5838       0.135668       0.380087              1
            241         0.1205        716.701        648.023        68.6782       0.131791       0.380022              1
            242          0.121        716.679        647.887        68.7919       0.127993       0.379945              1
            243         0.1215        716.655        647.733        68.9218        0.12428       0.379856              1
            244          0.122        716.629        647.564        69.0646       0.120655       0.379759              1
            245         0.1225          716.6        647.384        69.2162       0.117121       0.379656              1
            246          0.123        716.569        647.196        69.3726       0.113681       0.379548              1
            247         0.1235        716.535        647.006        69.5296       0.110337       0.379438              1
            248          0.124        716.499        646.817        69.6826       0.107092       0.379329              1
            249         0.1245        716.461        646.633        69.8275       0.103945       0.379223              1
            250          0.125         716.42         646.46        69.9598       0.100898       0.379123              1
            251         0.1255        716.376        646.301        70.0754      0.0979502       0.379032              1
            252          0.126         716.33         646.16        70.1705       0.095102       0.378951              1
            253         0.1265        716.282        646.041        70.2412      0.0923522       0.378882              1
            254          0.127        716.231        645.947        70.2843      0.0896998       0.378829              1
            255         0.1275        716.178        645.881        70.2967      0.0871433       0.378792              1
            256          0.128        716.122        645.846        70.2759       0.084681       0.378773              1
            257         0.1285        716.064        645.844        70.2197      0.0823109       0.378773              1
            258          0.129        716.004        645.878        70.1264      0.0800307       0.378794              1
            259         0.1295        715.942        645.947        69.9946      0.0778381       0.378836              1
            260           0.13        715.877        646.054        69.8236      0.0757305         0.3789              1
            261         0.1305        715.811        646.198        69.6129      0.0737053       0.378985              1
            262          0.131        715.742        646.379        69.3627      0.0717597       0.379093              1
            263         0.1315        715.672        646.598        69.0735      0.0698909       0.379223              1
            264          0.132          715.6        646.854        68.7462      0.0680955       0.379373              1
            265         0.1325        715.526        647.144         68.382      0.0663718       0.379545              1
            266          0.133        715.451        647.468        67.9828      0.0647163       0.379736              1
            267         0.1335        715.374        647.823        67.5505      0.0631257       0.379945              1
            268          0.134        715.295        648.208        67.0875       0.061598       0.380171              1
            269         0.1345        715.216        648.619        66.5965      0.0601301       0.380414              1
            270          0.135        715.135        649.055        66.0803      0.0587192        0.38067              1
            271         0.1355        715.053        649.511        65.5421      0.0573625       0.380939              1
            272          0.136        714.971        649.986        64.9851      0.0560574       0.381218              1
            273         0.1365        714.887        650.474        64.4127      0.0548014       0.381505              1
            274          0.137        714.803        650.974        63.8286      0.0535919       0.381799              1
            275         0.1375        714.718        651.482        63.2363       0.052426       0.382097              1
            276          0.138        714.632        651.993        62.6395      0.0513024       0.382398              1
            277         0.1385        714.546        652.504         62.042      0.0502183       0.382698              1
            278          0.139         714.46        653.013        61.4473      0.0491716       0.382997              1
            279         0.1395        714.373        653.514        60.8591      0.0481601       0.383292              1
            280           0.14        714.286        654.006        60.2808      0.0471818       0.383581              1
            281         0.1405        714.199        654.483        59.7161      0.0462349       0.383861              1
            282          0.141        714.113        654.945         59.168      0.0453173       0.384132              1
            283         0.1415        714.026        655.386        58.6398      0.0444275       0.384392              1
            284          0.142        713.939        655.805        58.1344      0.0435637       0.384638              1
            285         0.1425        713.852        656.198        57.6546      0.0427244       0.384869              1
            286          0.143        713.766        656.563        57.2027       0.041908       0.385084              1
            287         0.1435         713.68        656.899        56.7812      0.0411131       0.385281              1
            288          0.144        713.595        657.203         56.392      0.0403384        0.38546              1
            289         0.1445         713.51        657.473        56.0368      0.0395827       0.385619              1
            290          0.145        713.425        657.708        55.7172      0.0388447       0.385757              1
            291         0.1455        713.341        657.907        55.4342      0.0381234       0.385874              1
            292          0.146        713.258        658.069        55.1888      0.0374177        0.38597              1
            293         0.1465        713.175        658.194        54.9816      0.0367268       0.386043              1
            294          0.147        713.093        658.281        54.8128      0.0360496       0.386095              1
